Unnamed: 0,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size,battery_life
0,ASUS ROG Flow X13 Ryzen 9 Octa Core 5980HS - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFo...,"₹3,50,990",0,0.0,0,32 GB LPDDR4X RAM,1 TB SSD,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 Operating System,Bank Offer,34.04 cm (13.4 inch) Touchscreen Display,7 hours
1,ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 wit...,"₹3,45,390","₹3,77,798",4.6,10 Ratings & 3 Reviews,32 GB DDR4 RAM,1 TB SSD,Intel Core i9 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange","15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits",8 hours
2,ASUS ROG Flow Z13 (2022) Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,"₹3,21,990","₹3,83,990",0.0,0,16 GB LPDDR5 RAM,1 TB SSD,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,0,34.04 cm (13.4 Inch) Touchscreen Display,8 hours
3,ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,"₹3,01,990","₹3,59,990",0.0,0,32 GB DDR5 RAM,1 TB SSD,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,5 hours
4,MSI Stealth GS66 Core i7 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3...,"₹2,79,990","₹3,13,990",0.0,0,32 GB DDR5 RAM,1 TB SSD,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display,6 hours
5,ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 2060) UX581LV...,"₹2,69,990","₹3,26,990",4.8,8 Ratings & 1 Reviews,32 GB DDR4 RAM,1 TB SSD,Intel Core i9 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Touchscreen Display,10 hours
6,ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070) m1...,"₹2,69,290","₹2,93,080",4.0,5 Ratings & 2 Reviews,16 GB DDR4 RAM,1 TB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange","15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits",7 hours
7,MSI Raider GE66 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 30...,"₹2,59,990","₹2,79,990",0.0,0,16 GB DDR5 RAM,1 TB SSD,Intel Core i7 Processor (12th Gen),64 bit Windows 11 Operating System,Bank Offer,39.62 cm (15.6 inch) Display,5 hours
8,Lenovo Legion 7i Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2...,"₹2,49,990","₹3,49,890",0.0,0,16 GB DDR4 RAM,1 TB SSD,Intel Core i7 Processor (10th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display,10 hours
9,ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5980HS - (32 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVID...,"₹2,39,990","₹3,50,990",5.0,4 Ratings & 0 Reviews,32 GB LPDDR4X RAM,1 TB SSD,AMD Ryzen 9 Octa Core Processor,64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",34.04 cm (13.4 Inch) Touchscreen Display,7 hours
